admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode, Total_pop 
Abbottabad,PK20101,Abbottabad,PK201,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1332912.00
Ahmadupr East,PK60305,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK,1078683.00
Ahmedpur Sial,PK61201,Jhang,PK612,Punjab,PK6,Pakistan,PK,433517.00
Alai,PK20301,Batagram,PK203,Khyber Pakhtunkhwa,PK2,Pakistan,PK,180414.00
Alipur,PK62301,Muzaffargarh,PK623,Punjab,PK6,Pakistan,PK,639748.00
Alpuri,PK22001,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK,380039.00
Ambar Utman Khel,PK23501,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,62109.00
Arif Wala,PK62701,Pakpattan,PK627,Punjab,PK6,Pakistan,PK,854462.00
Attock,PK60101,Attock,PK601,Punjab,PK6,Pakistan,PK,434705.00
Awaran,PK70101,Awaran,PK701,Balochistan,PK7,Pakistan,PK,48750.00
Baba Kot,PK72201,Nasirabad,PK722,Balochistan,PK7,Pakistan,PK,49459.00
Babuzai,PK22201,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,599040.00
Badin,PK80101,Badin,PK801,Sindh,PK8,Pakistan,PK,455295.00
Badinai,PK71601,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK,15301.00
Bahawalnagar,PK60201,Bahawalnagar,PK602,Punjab,PK6,Pakistan,PK,815143.00
Bahawalpur,PK60301,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK,1256646.00
Bahrain,PK22202,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,99390.00
Bakrani,PK81001,Larkana,PK810,Sindh,PK8,Pakistan,PK,229444.00
Balakot,PK21601,Mansehra,PK216,Khyber Pakhtunkhwa,PK2,Pakistan,PK,273089.00
Balnigor,PK71201,Kech,PK712,Balochistan,PK7,Pakistan,PK,45065.00
Banda Daud Shah,PK21001,Karak,PK210,Khyber Pakhtunkhwa,PK2,Pakistan,PK,155642.00
Bannu,PK20201,Bannu,PK202,Khyber Pakhtunkhwa,PK2,Pakistan,PK,958504.00
Bar Chamarkand,PK23202,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2868.00
Bara,PK23301,Khyber,PK233,Khyber Pakhtunkhwa,PK2,Pakistan,PK,444403.00
Barang,PK23201,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK,76558.00
Barawal,PK23001,Upper Dir,PK230,Khyber Pakhtunkhwa,PK2,Pakistan,PK,76925.00
Barikot,PK22203,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,184000.00
Barkhan,PK70201,Barkhan,PK702,Balochistan,PK7,Pakistan,PK,171556.00
Barshore,PK72501,Pishin,PK725,Balochistan,PK7,Pakistan,PK,103606.00
Batagram,PK20302,Batagram,PK203,Khyber Pakhtunkhwa,PK2,Pakistan,PK,296198.00
Bela,PK71801,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,104438.00
Besima,PK72901,Washuk,PK729,Balochistan,PK7,Pakistan,PK,68036.00
Bettani,PK24201,FR Lakki Marwat,PK242,Khyber Pakhtunkhwa,PK2,Pakistan,PK,26359.00
Bhag,PK73201,Lehri,PK732,Balochistan,PK7,Pakistan,PK,73619.00
Bhakkar,PK60401,Bhakkar,PK604,Punjab,PK6,Pakistan,PK,685059.00
Bhalwal,PK63201,Sargodha,PK632,Punjab,PK6,Pakistan,PK,357331.00
Bhiria,PK81301,Naushahro Feroze,PK813,Sindh,PK8,Pakistan,PK,424684.00
Birmal,PK23801,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,104304.00
Bisham,PK22002,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK,105890.00
Buleda,PK71202,Kech,PK712,Balochistan,PK7,Pakistan,PK,120315.00
Bulri Shah Karim,PK82003,Tando Muhammad Khan,PK820,Sindh,PK8,Pakistan,PK,236913.00
Burewala,PK63601,Vehari,PK636,Punjab,PK6,Pakistan,PK,1015385.00
Central Kurram,PK23401,Kurram,PK234,Khyber Pakhtunkhwa,PK2,Pakistan,PK,229356.00
Central Orakzai,PK23701,Orakzai,PK237,Khyber Pakhtunkhwa,PK2,Pakistan,PK,59122.00
Chachro,PK82101,Tharparkar,PK821,Sindh,PK8,Pakistan,PK,351263.00
Chagai,PK70401,Chagai,PK704,Balochistan,PK7,Pakistan,PK,80676.00
Chagharzai,PK20401,Buner,PK204,Khyber Pakhtunkhwa,PK2,Pakistan,PK,105643.00
Chak Jhumra,PK60801,Faisalabad,PK608,Punjab,PK6,Pakistan,PK,332461.00
Chakwal,PK60501,Chakwal,PK605,Punjab,PK6,Pakistan,PK,656978.00
Chaman,PK71501,Killa Abdullah,PK715,Balochistan,PK7,Pakistan,PK,495491.00
Chamla,PK20402,Buner,PK204,Khyber Pakhtunkhwa,PK2,Pakistan,PK,59093.00
Charbagh,PK22204,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,126115.00
Charsadda,PK20501,Charsadda,PK205,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1187959.00
Chattar,PK72202,Nasirabad,PK722,Balochistan,PK7,Pakistan,PK,75330.00
Chaubara,PK61801,Layyah,PK618,Punjab,PK6,Pakistan,PK,252200.00
Chichawatni,PK63101,Sahiwal,PK631,Punjab,PK6,Pakistan,PK,1026007.00
Chiksar,PK22003,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK,126679.00
Chiniot,PK60601,Chiniot,PK606,Punjab,PK6,Pakistan,PK,1369740.00
Chishtian,PK60202,Bahawalnagar,PK602,Punjab,PK6,Pakistan,PK,691221.00
Chitral,PK20601,Chitral,PK206,Khyber Pakhtunkhwa,PK2,Pakistan,PK,278122.00
Choa Saidan Shah,PK60502,Chakwal,PK605,Punjab,PK6,Pakistan,PK,141844.00
Chunian,PK61401,Kasur,PK614,Punjab,PK6,Pakistan,PK,825684.00
Dadu,PK80201,Dadu,PK802,Sindh,PK8,Pakistan,PK,460481.00
Daggar,PK20403,Buner,PK204,Khyber Pakhtunkhwa,PK2,Pakistan,PK,355692.00
Daharki,PK80301,Ghotki,PK803,Sindh,PK8,Pakistan,PK,310079.00
Dalbandin,PK70402,Chagai,PK704,Balochistan,PK7,Pakistan,PK,126822.00
Daraban,PK20701,Dera Ismail Khan,PK207,Khyber Pakhtunkhwa,PK2,Pakistan,PK,123933.00
Darra Adam Khel,PK24101,FR Kohat,PK241,Khyber Pakhtunkhwa,PK2,Pakistan,PK,118578.00
Darya Khan,PK60402,Bhakkar,PK604,Punjab,PK6,Pakistan,PK,360807.00
Dasht (Kech),PK71203,Kech,PK712,Balochistan,PK7,Pakistan,PK,77291.00
Dasht (Mastung),PK72001,Mastung,PK720,Balochistan,PK7,Pakistan,PK,64768.00
Daska,PK63401,Sialkot,PK634,Punjab,PK6,Pakistan,PK,846933.00
Dassu,PK21201,Kohistan,PK212,Khyber Pakhtunkhwa,PK2,Pakistan,PK,306775.00
Data Khel,PK23601,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,75116.00
Daur,PK81601,Shaheed Benazirabad,PK816,Sindh,PK8,Pakistan,PK,477357.00
De- Excluded Area Rajanpur,PK62901,Rajanpur,PK629,Punjab,PK6,Pakistan,PK,34230.00
De-excluded Area D.G.Khan,PK60701,Dera Ghazi Khan,PK607,Punjab,PK6,Pakistan,PK,212430.00
Depalpur,PK62601,Okara,PK626,Punjab,PK6,Pakistan,PK,1374912.00
Dera Bugti,PK70501,Dera Bugti,PK705,Balochistan,PK7,Pakistan,PK,58757.00
Dera Ghazi Khan,PK60702,Dera Ghazi Khan,PK607,Punjab,PK6,Pakistan,PK,1984015.00
Dera Ismail Khan,PK20702,Dera Ismail Khan,PK207,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1017361.00
Dera Murad Jamali,PK72203,Nasirabad,PK722,Balochistan,PK7,Pakistan,PK,234581.00
Digri,PK81201,Mirpur Khas,PK812,Sindh,PK8,Pakistan,PK,214499.00
Dina,PK61301,Jhelum,PK613,Punjab,PK6,Pakistan,PK,238660.00
Diplo,PK82102,Tharparkar,PK821,Sindh,PK8,Pakistan,PK,392640.00
Dir,PK23002,Upper Dir,PK230,Khyber Pakhtunkhwa,PK2,Pakistan,PK,415816.00
Dokri,PK81002,Larkana,PK810,Sindh,PK8,Pakistan,PK,225294.00
Domel,PK20202,Bannu,PK202,Khyber Pakhtunkhwa,PK2,Pakistan,PK,209388.00
Dossali,PK23602,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,39821.00
Drazanda,PK24001,FR Dera Ismail Khan,PK240,Khyber Pakhtunkhwa,PK2,Pakistan,PK,68556.00
Duki,PK71901,Loralai,PK719,Balochistan,PK7,Pakistan,PK,153000.00
Dunyapur,PK61901,Lodhran,PK619,Punjab,PK6,Pakistan,PK,495013.00
Dureji,PK71802,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,45662.00
Faisalabad City,PK60802,Faisalabad,PK608,Punjab,PK6,Pakistan,PK,3237961.00
Faisalabad Saddar,PK60803,Faisalabad,PK608,Punjab,PK6,Pakistan,PK,1465411.00
Faiz Ganj,PK80901,Khairpur,PK809,Sindh,PK8,Pakistan,PK,224004.00
Fateh Jang,PK60102,Attock,PK601,Punjab,PK6,Pakistan,PK,325970.00
Ferozewala,PK63301,Sheikhupura,PK633,Punjab,PK6,Pakistan,PK,795498.00
Fort Abbas,PK60203,Bahawalnagar,PK602,Punjab,PK6,Pakistan,PK,423529.00
Gaddani,PK71803,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,24579.00
Gagra,PK20404,Buner,PK204,Khyber Pakhtunkhwa,PK2,Pakistan,PK,164824.00
Gambat,PK80902,Khairpur,PK809,Sindh,PK8,Pakistan,PK,263746.00
Gandakha,PK70801,Jaffarabad,PK708,Balochistan,PK7,Pakistan,PK,74976.00
Gandawa,PK70901,Jhal Magsi,PK709,Balochistan,PK7,Pakistan,PK,60650.00
Garhi Khairo,PK80501,Jacobabad,PK805,Sindh,PK8,Pakistan,PK,158360.00
Garhi Yasin,PK81701,Shikarpur,PK817,Sindh,PK8,Pakistan,PK,315883.00
Garyum,PK23603,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,11780.00
Ghazi,PK20901,Haripur,PK209,Khyber Pakhtunkhwa,PK2,Pakistan,PK,145367.00
Ghorabari,PK82201,Thatta,PK822,Sindh,PK8,Pakistan,PK,174088.00
Ghotki,PK80302,Ghotki,PK803,Sindh,PK8,Pakistan,PK,505998.00
Ghulam Khan,PK23604,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,27171.00
Gichk,PK72401,Panjgur,PK724,Balochistan,PK7,Pakistan,PK,16501.00
